"","eif_beta1","eif_beta0","eif_alpha","tp_pd_beta1","tp_pd_beta0","tp_pd_alpha","pd_om_beta1","pd_om_beta0","pd_om_alpha","rho"
"168",0.467881949525396,-0.710535951526728,311.102017608792,0.471633952820083,-0.686569313866731,366.824472807025,0.472725250394915,-0.509096266902582,406.744794305156,0.1
"169",0.485848592329767,-0.567917754543652,326.558970604625,0.434352340418496,-0.595563280516652,450.503577252048,0.473054408437772,-0.436231573796929,326.320476399057,0.1
"170",0.522106305936001,-0.563938427459702,365.885576171914,0.501417011210357,-0.567741092760094,384.820098295864,0.474461459215129,-0.515290266292624,363.685079012431,0.1
"171",0.510749456494135,-0.685342644468285,346.28966671188,0.505143678873273,-0.635765916096431,366.420131365419,0.485666674762592,-0.489653377048468,301.918938970532,0.1
"172",0.563373077940735,-0.700562299546993,271.190292382525,0.549693918208762,-0.650913181664296,310.867339574357,0.481532633773347,-0.49757862004973,273.119440822808,0.1
"173",0.54702101396026,-0.492413653036277,348.945573793005,0.511454153554831,-0.521499684214959,425.461459935489,0.455833985160188,-0.499056509644239,361.650236523822,0.1
"174",0.457595956881418,-0.469663136019167,413.631019892486,0.461135184490597,-0.476848492774765,427.978510260833,0.479316761479035,-0.44797132953555,350.939175373713,0.1
"175",0.514466316006644,-0.626309203284067,375.129121348758,0.496071887909254,-0.63515148790533,320.877774544072,0.462067938610305,-0.4387148047138,342.922136758988,0.1
"176",0.474936776933826,-0.563286603562307,434.649620076712,0.471008280512023,-0.564668720588886,448.774496185637,0.490374291151032,-0.507003470368489,403.835972631846,0.1
"177",0.58113427915706,-0.854966296502902,230.755607022371,0.554224781243161,-0.825313227308582,266.54882843454,0.478497128937839,-0.675955122207782,363.36259745761,0.1
"178",0.425439593210053,-0.596046261181406,384.126820012422,0.441971575726046,-0.568485710064476,385.795886701136,0.476217902087923,-0.403181989323529,347.172104254887,0.1
"179",0.505377051983717,-0.660059283796094,312.197671680606,0.512250699386272,-0.603418679733041,322.085041678574,0.496889383396889,-0.54010757126678,255.605292069905,0.1
"180",0.43631647913195,-0.935069288677982,219.041853727485,0.451937095428816,-0.672211101927673,283.336914667819,0.475434421749823,-0.616204910350536,300.590426944755,0.1
"181",0.555427515000315,-0.586619857472564,387.430980307756,0.532428222308769,-0.62236123336837,364.439590337589,0.501422101828238,-0.465585193087956,294.865975314123,0.1
"182",0.504828447149569,-0.687206940167645,395.342065870021,0.507888204949044,-0.665392460257397,404.856328288438,0.474534863557562,-0.429537154778972,371.908740512146,0.1
"183",0.46048144665278,-0.621620423952768,295.176374394405,0.457204517983383,-0.586469960391243,340.337859066684,0.482536885636679,-0.542268201057077,359.389295332105,0.1
"184",0.515177232265138,-0.489490270210996,364.025065394597,0.510117335207269,-0.484392177846867,339.761275258649,0.48833751520823,-0.444686346215996,356.238935768339,0.1
"185",0.431223381150546,-0.631735491536319,592.206192313471,0.455745080246816,-0.614031387303426,496.253770850842,0.471201163706658,-0.495659651631248,331.736756206376,0.1
"186",0.489858204739615,-0.551958616643583,237.896088220134,0.485886286228384,-0.537226252602493,236.423693989473,0.469850142078112,-0.506596549349671,250.469193555317,0.1
"187",0.503260285623089,-0.695716352285729,282.096173528437,0.497785879509144,-0.64193783660334,289.170366309138,0.467583395060355,-0.513674937638349,334.360324058814,0.1
"188",0.513818459908564,-0.612238396508512,557.81711283916,0.48886370935804,-0.623661432700665,592.326346552333,0.483206090073323,-0.419943784757347,395.197841342804,0.1
